catalog_path	row_anchor	package_role	hermes_intent	paax_package_source_api	loader_guard_mcp_relation	mapping_status	documentation_status	test_evidence	security_provenance_note	disposition
.github/PULL_REQUEST_TEMPLATE.md	R1@L7010	non-skill-documentation	What does this PR do? — What does this PR do?	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
.plans/message-reactions.md	R2@L7011	non-skill-documentation	Message reactions (desktop tapbacks) — Message reactions (desktop tapbacks)	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
.plans/openai-api-server.md	R3@L7012	non-skill-documentation	OpenAI-Compatible API Server for Hermes Agent — OpenAI-Compatible API Server for Hermes Agent	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
.plans/streaming-support.md	R4@L7013	non-skill-documentation	Streaming LLM Response Support for Hermes Agent — Streaming LLM Response Support for Hermes Agent	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
AGENTS.md	R5@L7014	non-skill-documentation	Hermes Agent - Development Guide — Hermes Agent - Development Guide	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
apps/desktop/AGENTS.md	R6@L7015	non-skill-documentation	Desktop Engineering Guide — Desktop Engineering Guide	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
apps/desktop/DESIGN.md	R7@L7016	non-skill-documentation	Desktop Design System — Desktop Design System	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
apps/desktop/README.md	R8@L7017	non-skill-documentation	Hermes Desktop ☤ — Hermes Desktop ☤	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
apps/desktop/scripts/perf/README.md	R9@L7018	non-skill-documentation	Desktop perf harness — Desktop perf harness	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
apps/desktop/scripts/profile-typing-lag.md	R10@L7019	non-skill-documentation	Profiling renderer typing lag — Profiling renderer typing lag	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
apps/desktop/src/debug/README.md	R11@L7020	non-skill-documentation	Dev-only state diagnostics — Dev-only state diagnostics	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
apps/desktop/src/plugins/README.md	R12@L7021	non-skill-documentation	Bundled plugins — Bundled plugins	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
constraints-termux.txt	R13@L7022	non-skill-documentation	Termux / Android dependency constraints for Hermes Agent. — Termux / Android dependency constraints for Hermes Agent.	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
CONTRIBUTING.es.md	R14@L7023	non-skill-documentation	Contribuir a Hermes Agent — Contribuir a Hermes Agent	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
CONTRIBUTING.md	R15@L7024	non-skill-documentation	Contributing to Hermes Agent — Contributing to Hermes Agent	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
contributors/README.md	R16@L7025	non-skill-documentation	Contributor email → GitHub login mappings — Contributor email → GitHub login mappings	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docker/SOUL.md	R17@L7026	non-skill-documentation	You are Hermes Agent, an intelligent AI assistant created by Nous Research. You are helpful, knowledgeable, and direct. You assist users with a wide range of tasks including answer — You are Hermes Agent, an intelligent AI assistant created by Nous Research. You are helpful, knowledgeable, and direct. You assist users with a wide range of tasks including answering questions, writing and editing code, analyzing inform	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/billing-lifecycle.md	R18@L7027	non-skill-documentation	Billing lifecycle: client-side state, errors, and recovery — Billing lifecycle: client-side state, errors, and recovery	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/chronos-managed-cron-contract.md	R19@L7028	non-skill-documentation	Chronos managed-cron — agent ↔ NAS wire contract — Chronos managed-cron — agent ↔ NAS wire contract	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/design/profile-builder.md	R20@L7029	non-skill-documentation	Profile Builder — Dashboard-Native, Full-Featured Profile Creation — Profile Builder — Dashboard-Native, Full-Featured Profile Creation	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/kanban/multi-gateway.md	R21@L7030	non-skill-documentation	Multi-gateway deployment — Multi-gateway deployment	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/micro-compaction.md	R22@L7031	non-skill-documentation	Micro-compaction — Micro-compaction	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/middleware/README.md	R23@L7032	non-skill-documentation	Hermes Middleware — Hermes Middleware	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/observability/monitoring.md	R24@L7033	non-skill-documentation	Gateway Monitoring — Gateway Monitoring	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/observability/README.md	R25@L7034	non-skill-documentation	Hermes Observer Hooks — Hermes Observer Hooks	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/observability/relay-shared-metrics.md	R26@L7035	non-skill-documentation	NeMo Relay Shared Metrics — NeMo Relay Shared Metrics	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/plans/2026-06-09-003-fix-telegram-stream-overflow-continuations-plan.md	R27@L7036	non-skill-documentation	fix: Prevent Telegram streamed replies from ending after first overflow chunk — title: "fix: Prevent Telegram streamed replies from ending after first overflow chunk"	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/profile-routing.md	R28@L7037	non-skill-documentation	Profile-Based Routing for Inbound Messages — Profile-Based Routing for Inbound Messages	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/rca-ssl-cacert-post-git-pull.md	R29@L7038	non-skill-documentation	RCA: SSL CA cert bundle corruption after `hermes update — RCA: SSL CA cert bundle corruption after `hermes update	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/relay-connector-contract.md	R30@L7039	non-skill-documentation	Relay ↔ Connector Contract (v1, EXPERIMENTAL) — Relay ↔ Connector Contract (v1, EXPERIMENTAL)	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/security/network-egress-isolation.md	R31@L7040	non-skill-documentation	Network Egress Isolation for Docker Deployments — Network Egress Isolation for Docker Deployments	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/session-lifecycle.md	R32@L7041	non-skill-documentation	Session Lifecycle — Session Lifecycle	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
docs/streaming-tts.md	R33@L7042	non-skill-documentation	Streaming TTS — Streaming TTS	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
gateway/platforms/ADDING_A_PLATFORM.md	R34@L7043	non-skill-documentation	Adding a New Messaging Platform — Adding a New Messaging Platform	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
hermes-already-has-routines.md	R35@L7044	non-skill-documentation	Hermes Agent Has Had "Routines" Since March — Hermes Agent Has Had "Routines" Since March	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
log.txt	R36@L7045	non-skill-documentation		—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
