ahsp_code,description,unit,division,subdivision,ahsp_type,status,source_page
CK-D1-001,Pembersihan lahan ringan,m2,Divisi 1 Persiapan Lapangan / Site Work,Pembersihan dan pembongkaran,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-001
CK-D1-002,Pengukuran dan pemasangan bouwplank,m1,Divisi 1 Persiapan Lapangan / Site Work,Pengukuran dan pematokan,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-002
CK-D1-003,Pembuatan direksi keet sementara,m2,Divisi 1 Persiapan Lapangan / Site Work,Fasilitas sementara,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-003
CK-D1-004,Pembuatan pagar pengaman sementara,m1,Divisi 1 Persiapan Lapangan / Site Work,Fasilitas sementara,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-004
CK-D1-005,Mobilisasi peralatan ringan,ls,Divisi 1 Persiapan Lapangan / Site Work,Mobilisasi,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-005
CK-D1-006,Galian tanah biasa manual,m3,Divisi 1 Persiapan Lapangan / Site Work,Pekerjaan tanah,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-006
CK-D1-007,Urugan kembali tanah galian,m3,Divisi 1 Persiapan Lapangan / Site Work,Pekerjaan tanah,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-007
CK-D1-008,Urugan pasir bawah lantai,m3,Divisi 1 Persiapan Lapangan / Site Work,Pekerjaan tanah,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-008
CK-D1-009,Pemadatan tanah dengan stamper,m2,Divisi 1 Persiapan Lapangan / Site Work,Pekerjaan tanah,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-009
CK-D1-010,Pembuangan tanah sisa galian,m3,Divisi 1 Persiapan Lapangan / Site Work,Pekerjaan tanah,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-010
CK-D2-001,Lantai kerja beton kurus,m3,Divisi 2 Pekerjaan Struktur,Beton,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-011
CK-D2-002,Beton pondasi mutu demo,m3,Divisi 2 Pekerjaan Struktur,Beton,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-012
CK-D2-003,Beton sloof mutu demo,m3,Divisi 2 Pekerjaan Struktur,Beton,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-013
CK-D2-004,Beton kolom mutu demo,m3,Divisi 2 Pekerjaan Struktur,Beton,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-014
CK-D2-005,Beton balok mutu demo,m3,Divisi 2 Pekerjaan Struktur,Beton,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-015
CK-D2-006,Beton pelat lantai mutu demo,m3,Divisi 2 Pekerjaan Struktur,Beton,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-016
CK-D2-007,Pembesian tulangan polos atau ulir,kg,Divisi 2 Pekerjaan Struktur,Pembesian,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-017
CK-D2-008,Bekisting pondasi,m2,Divisi 2 Pekerjaan Struktur,Bekisting,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-018
CK-D2-009,Bekisting sloof,m2,Divisi 2 Pekerjaan Struktur,Bekisting,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-019
CK-D2-010,Bekisting kolom,m2,Divisi 2 Pekerjaan Struktur,Bekisting,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-020
CK-D2-011,Bekisting balok,m2,Divisi 2 Pekerjaan Struktur,Bekisting,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-021
CK-D2-012,Bekisting pelat lantai,m2,Divisi 2 Pekerjaan Struktur,Bekisting,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-022
